TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
3,M,1,1,1,2,0,2,1.0,0,1200401.0,Rio Branco,12.0,AC,2.0,1.0,1.0,1200401,12,AC,1,1,1,1,1224.0,1192.0,1202.0,1214.0,433.4,457.6,452.9,475.8,1,1.0,120.0,80.0,80.0,100.0,0.0,380.0,C,D,B,B,2,D,A,B,D,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,B
11,F,1,3,1,1,2,1,,0,,,,,,,,1200401,12,AC,0,0,0,0,,,,,,,,,0,,,,,,,,A,E,A,B,1,B,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,B,A,B,B
12,F,2,3,1,1,17,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1224.0,1192.0,1202.0,1214.0,330.4,459.0,377.4,371.0,0,1.0,100.0,120.0,80.0,60.0,60.0,420.0,A,C,A,B,4,B,A,B,C,A,B,B,A,A,A,A,A,A,B,A,B,B,B,A,B
11,F,1,1,1,1,0,1,,0,,,,,,,,1200401,12,AC,0,0,0,0,,,,,,,,,0,,,,,,,,B,C,B,B,3,B,A,B,B,A,A,B,A,B,B,A,A,A,B,A,A,B,A,A,B
11,M,0,3,1,1,0,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1224.0,1192.0,1202.0,1214.0,547.5,613.8,562.2,469.5,1,1.0,80.0,120.0,80.0,100.0,100.0,480.0,B,B,F,B,7,C,A,B,D,A,B,B,A,A,A,B,A,A,D,A,A,E,A,B,B
3,F,1,3,1,2,0,2,1.0,0,1200500.0,Sena Madureira,12.0,AC,1.0,1.0,1.0,1200500,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,586.3,683.6,673.6,741.4,0,1.0,180.0,200.0,180.0,180.0,200.0,940.0,G,G,D,B,3,I,A,D,D,B,B,B,B,B,B,B,A,B,C,A,B,D,A,D,B
9,F,0,1,1,1,4,1,,0,,,,,,,,1200401,12,AC,0,0,0,0,,,,,,,,,0,,,,,,,,C,E,B,C,3,B,A,B,B,A,A,B,A,A,A,A,A,A,C,A,A,C,A,A,B
11,F,1,3,1,1,0,1,,0,,,,,,,,1200401,12,AC,0,0,0,0,,,,,,,,,1,,,,,,,,B,B,B,B,4,B,B,B,B,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,A
11,M,1,1,1,1,10,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1224.0,1192.0,1202.0,1214.0,516.1,517.5,580.6,580.8,0,1.0,160.0,200.0,180.0,140.0,180.0,860.0,D,B,D,B,3,J,A,B,D,B,A,C,B,B,A,A,A,A,C,A,A,D,B,B,B
4,M,1,1,1,1,1,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,529.6,592.4,565.2,558.9,1,1.0,160.0,200.0,160.0,200.0,200.0,920.0,D,F,C,D,4,F,A,B,C,B,B,B,A,B,A,A,A,A,B,A,A,D,A,B,B
