TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
2,M,1,1,1,2,0,3,1.0,0,,,,,,,,1200401,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,439.5,549.3,541.3,442.3,0,1.0,120.0,40.0,40.0,120.0,60.0,380.0,F,F,E,E,4,E,A,C,C,B,A,B,B,B,B,B,A,B,D,A,B,E,A,A,B
5,M,1,2,2,1,2,1,,0,,,,,,,,1200203,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,402.8,448.3,460.2,453.4,1,1.0,120.0,100.0,80.0,80.0,60.0,440.0,E,E,B,B,5,B,A,C,D,A,B,B,B,B,B,B,A,A,B,A,A,E,A,A,B
2,F,1,3,1,2,0,2,1.0,0,,,,,,,,1200401,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,546.1,354.6,330.7,438.6,1,1.0,100.0,160.0,120.0,120.0,60.0,560.0,H,E,C,B,2,B,A,B,A,A,A,B,B,A,A,A,A,A,B,A,A,C,A,A,B
4,F,1,1,1,1,1,1,,0,,,,,,,,1200203,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,535.4,589.2,577.2,486.1,1,1.0,160.0,200.0,180.0,200.0,200.0,940.0,B,E,C,F,4,B,A,B,C,A,A,B,B,A,B,A,A,A,B,A,A,D,A,A,A
11,F,1,1,1,1,12,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1224.0,1192.0,1202.0,1214.0,609.4,666.0,661.9,605.1,0,1.0,160.0,160.0,120.0,140.0,100.0,680.0,H,D,F,B,5,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,D,A,B,B
5,F,1,3,1,1,2,1,,0,,,,,,,,1200385,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,519.7,598.2,563.5,422.9,0,1.0,120.0,160.0,120.0,120.0,80.0,600.0,D,E,B,B,3,D,A,C,C,A,A,B,B,B,B,A,A,A,B,A,A,D,A,B,B
2,F,1,1,1,2,0,2,1.0,0,,,,,,,,1200401,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,507.5,525.0,477.7,461.7,0,1.0,180.0,200.0,200.0,200.0,200.0,980.0,H,F,F,D,5,C,A,B,B,B,B,B,B,A,A,A,A,A,B,B,A,C,A,A,B
4,F,1,4,1,1,1,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,478.5,539.2,510.0,629.4,0,1.0,160.0,160.0,140.0,140.0,160.0,760.0,B,B,F,F,2,B,A,B,B,A,A,B,A,B,B,A,A,A,A,A,A,B,A,A,B
3,F,1,3,1,2,0,2,1.0,0,1200401.0,Rio Branco,12.0,AC,2.0,1.0,1.0,1200401,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,488.7,567.0,569.5,496.8,0,1.0,80.0,200.0,120.0,140.0,140.0,680.0,E,E,C,D,4,D,A,B,C,B,A,A,B,A,B,A,A,A,A,A,A,C,A,B,A
11,F,2,1,1,1,11,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,453.3,555.2,531.7,544.2,1,1.0,100.0,40.0,40.0,80.0,80.0,340.0,B,B,A,A,3,C,A,B,C,B,A,B,A,A,A,A,A,A,B,A,A,C,A,A,B
4,F,1,3,1,1,2,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1224.0,1192.0,1202.0,1214.0,439.0,510.0,494.8,456.4,1,1.0,100.0,120.0,120.0,100.0,0.0,440.0,B,G,A,F,3,D,A,C,B,B,B,B,A,B,B,A,A,A,B,B,A,D,A,C,B
13,M,0,3,1,1,17,1,,0,,,,,,,,1200401,12,AC,0,0,0,0,,,,,,,,,1,,,,,,,,A,B,A,A,5,B,A,B,C,A,A,B,A,A,A,A,A,A,A,A,A,C,A,A,B
10,M,1,2,1,1,7,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1224.0,1192.0,1202.0,1214.0,501.9,651.8,586.4,467.2,1,1.0,100.0,120.0,120.0,120.0,140.0,600.0,B,B,C,B,4,D,A,C,D,B,A,B,B,B,B,B,A,B,E,A,A,E,A,C,B
11,M,1,3,1,1,9,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,621.5,692.6,594.6,699.9,0,1.0,160.0,180.0,140.0,160.0,180.0,820.0,F,F,F,D,1,C,A,B,B,A,B,B,B,A,A,A,A,A,B,A,B,B,A,B,B
3,M,1,3,1,2,0,2,1.0,0,1200203.0,Cruzeiro do Sul,12.0,AC,2.0,1.0,1.0,1200203,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,403.2,602.0,560.2,528.4,1,1.0,80.0,120.0,100.0,100.0,60.0,460.0,E,C,B,B,4,B,A,B,D,A,B,B,A,B,A,A,A,A,B,A,A,E,A,A,B
6,F,1,3,1,1,4,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,420.3,407.7,420.9,389.9,1,1.0,100.0,60.0,60.0,80.0,20.0,320.0,D,E,F,B,3,B,D,B,C,A,A,B,A,B,B,B,A,A,B,A,A,A,A,A,B
5,F,1,1,1,1,2,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,533.8,554.1,571.4,552.0,1,1.0,140.0,140.0,140.0,140.0,140.0,700.0,E,E,D,B,4,A,A,B,C,A,C,B,A,B,A,A,A,A,A,A,A,D,A,B,B
2,F,1,3,1,2,0,2,1.0,0,,,,,,,,1200203,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,432.7,444.8,547.1,495.8,1,1.0,160.0,200.0,160.0,180.0,140.0,840.0,H,D,F,B,3,A,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A
11,M,1,1,1,1,1,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,529.6,558.8,546.2,647.0,1,1.0,120.0,120.0,120.0,140.0,180.0,680.0,D,D,B,B,1,B,A,B,B,A,A,B,A,A,A,B,A,A,B,A,A,B,A,A,B
3,M,1,0,1,1,1,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,468.7,492.3,550.9,459.9,0,1.0,100.0,120.0,100.0,120.0,60.0,500.0,F,E,F,F,5,E,A,B,D,B,A,C,B,B,B,B,A,A,C,A,B,E,B,A,B
3,F,1,3,1,1,1,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,425.4,505.9,440.1,379.4,1,1.0,120.0,120.0,100.0,120.0,80.0,540.0,F,G,D,D,7,G,A,C,D,A,B,B,A,A,B,B,A,A,C,A,A,E,A,B,B
4,F,1,2,1,1,2,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,510.7,556.2,578.6,518.2,1,1.0,120.0,120.0,180.0,160.0,140.0,720.0,B,D,C,B,3,C,A,B,C,B,B,B,A,B,B,A,A,A,B,A,A,D,A,A,B
6,M,1,1,1,1,4,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,461.5,551.3,549.8,690.5,1,1.0,120.0,120.0,100.0,160.0,140.0,640.0,G,F,D,D,7,H,A,B,D,C,A,B,B,A,A,A,A,A,B,A,A,E,A,B,B
7,F,1,3,1,1,4,1,,0,,,,,,,,1200104,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,431.9,503.6,546.0,400.5,1,1.0,140.0,200.0,140.0,180.0,180.0,840.0,B,B,A,A,5,B,A,B,D,B,A,B,B,B,B,A,A,A,B,A,A,B,A,B,B
10,F,0,4,1,1,5,1,,0,,,,,,,,1200203,12,AC,0,0,0,0,,,,,,,,,1,,,,,,,,E,E,D,B,2,D,A,B,B,B,A,B,A,B,A,A,A,A,B,A,A,C,A,A,B
2,F,1,1,1,2,0,2,1.0,0,,,,,,,,1200401,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,546.0,555.1,581.6,538.0,0,1.0,140.0,200.0,160.0,180.0,180.0,860.0,E,E,B,B,6,D,A,B,D,B,A,B,A,A,A,A,A,A,B,A,A,D,A,A,B
4,M,1,3,1,1,1,1,,0,,,,,,,,1200203,12,AC,0,1,1,0,,1193.0,1204.0,,,588.7,546.9,,1,1.0,160.0,180.0,160.0,160.0,180.0,840.0,E,E,A,A,7,C,A,B,D,A,A,B,A,B,B,A,A,A,B,A,A,E,A,A,B
3,M,0,3,1,2,0,2,1.0,0,,,,,,,,1200401,12,AC,1,1,1,1,1224.0,1192.0,1202.0,1214.0,424.8,490.4,547.5,586.1,1,1.0,120.0,180.0,120.0,140.0,160.0,720.0,H,H,F,B,3,C,A,B,C,A,A,B,B,B,A,A,A,A,B,A,A,C,A,A,B
5,M,1,3,1,2,0,2,1.0,0,1200807.0,Porto Acre,12.0,AC,2.0,2.0,1.0,1200807,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,516.9,515.9,556.2,375.9,1,1.0,120.0,120.0,120.0,120.0,140.0,620.0,H,C,A,A,4,B,A,A,B,A,A,B,A,B,A,A,A,A,B,A,A,C,A,A,B
5,F,1,3,1,1,3,1,,0,,,,,,,,1200203,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,550.7,547.7,583.8,397.3,1,1.0,140.0,180.0,140.0,160.0,160.0,780.0,D,E,B,E,5,D,A,B,D,A,B,B,B,B,B,B,A,A,B,A,A,C,A,A,B
4,F,1,3,1,1,0,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1224.0,1192.0,1202.0,1214.0,353.2,343.1,380.0,371.5,1,1.0,40.0,120.0,80.0,40.0,0.0,280.0,B,B,F,F,2,B,A,B,B,A,A,B,A,B,B,B,A,A,B,A,A,C,A,A,B
3,F,1,3,1,2,0,2,1.0,0,1200344.0,Manoel Urbano,12.0,AC,2.0,1.0,1.0,1200500,12,AC,0,0,0,0,,,,,,,,,1,,,,,,,,A,A,A,B,7,A,D,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A
6,F,0,3,1,1,4,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,387.4,517.8,412.8,388.9,1,1.0,120.0,120.0,100.0,80.0,0.0,420.0,H,D,F,D,2,A,A,B,A,A,A,B,A,B,B,A,A,A,B,A,A,C,A,A,A
4,F,1,3,1,1,2,1,,0,,,,,,,,1200500,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,573.7,581.7,622.7,525.8,0,1.0,180.0,200.0,200.0,200.0,200.0,980.0,G,G,D,D,4,I,A,E,E,A,A,B,B,B,A,B,A,A,C,A,B,E,A,A,B
7,F,1,2,1,1,3,1,,0,,,,,,,,1200203,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,457.2,533.3,511.4,347.3,1,1.0,80.0,80.0,40.0,60.0,20.0,280.0,A,B,B,B,3,A,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,A
3,M,1,3,1,1,1,1,,0,,,,,,,,1200401,12,AC,0,0,0,0,,,,,,,,,1,,,,,,,,A,D,C,A,4,E,A,B,D,A,A,B,A,B,B,A,A,A,B,A,A,C,A,A,B
6,F,1,3,1,1,0,1,,0,,,,,,,,1200203,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,431.9,527.3,535.6,465.4,1,1.0,120.0,120.0,120.0,140.0,20.0,520.0,A,B,F,F,10,B,A,B,D,A,A,B,A,B,A,A,A,A,B,A,A,C,A,A,A
5,M,1,3,1,1,2,1,,0,,,,,,,,1200013,12,AC,1,1,1,1,1224.0,1192.0,1202.0,1214.0,377.6,533.7,527.8,536.1,1,1.0,160.0,200.0,160.0,180.0,180.0,880.0,F,E,F,C,8,D,A,B,D,A,B,B,A,B,A,A,A,A,B,A,A,A,A,B,B
11,F,1,3,1,1,10,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,419.1,479.0,538.4,343.1,1,1.0,100.0,60.0,60.0,80.0,20.0,320.0,B,D,C,B,4,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B
3,F,1,3,2,2,0,2,1.0,0,,,,,,,,1200203,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,583.1,596.3,591.3,680.5,1,1.0,160.0,200.0,180.0,200.0,200.0,940.0,C,E,B,B,5,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,B
5,F,1,2,1,1,3,1,,0,,,,,,,,1200203,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,439.2,448.9,434.4,426.8,0,1.0,80.0,120.0,100.0,100.0,100.0,500.0,D,D,A,B,4,B,A,B,C,A,A,B,A,B,B,A,A,A,B,A,A,C,A,A,A
8,M,3,2,1,1,6,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,518.8,518.6,503.5,440.5,1,1.0,60.0,120.0,120.0,100.0,60.0,460.0,H,F,F,B,4,C,A,B,D,A,A,B,A,B,B,A,A,A,B,A,A,D,A,A,B
3,F,1,3,1,2,0,2,1.0,0,,,,,,,,1200203,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,508.2,473.6,539.2,486.0,1,1.0,100.0,140.0,120.0,80.0,140.0,580.0,B,D,A,A,8,B,A,B,C,A,A,B,B,A,A,A,A,A,A,A,A,B,A,A,A
10,F,2,3,1,1,8,1,,0,,,,,,,,1200351,12,AC,0,0,0,0,,,,,,,,,1,,,,,,,,F,E,D,A,3,A,A,B,D,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A
3,F,1,3,1,1,1,1,,0,,,,,,,,1200401,12,AC,0,0,0,0,,,,,,,,,1,,,,,,,,E,C,F,F,6,A,A,B,C,A,B,B,B,B,A,B,A,A,B,A,A,C,B,A,A
2,M,0,3,1,2,0,2,1.0,0,,,,,,,,1200401,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,421.6,510.7,493.9,413.6,0,1.0,160.0,160.0,140.0,160.0,120.0,740.0,E,E,D,B,4,B,A,B,C,A,B,B,A,B,A,B,A,A,B,A,A,D,A,A,B
11,F,1,3,1,1,12,1,,0,,,,,,,,1200203,12,AC,1,1,1,1,1224.0,1192.0,1202.0,1214.0,458.5,448.0,555.5,367.8,1,1.0,120.0,120.0,140.0,120.0,120.0,620.0,F,E,F,F,2,D,A,A,C,A,A,B,A,B,A,A,A,A,B,A,A,B,A,A,B
4,F,1,3,1,1,1,1,,0,,,,,,,,1200401,12,AC,0,1,1,0,,1193.0,1204.0,,,389.0,501.1,,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,A,E,A,A,3,B,A,C,C,B,C,B,B,A,B,B,A,A,C,A,A,D,A,A,B
4,F,1,2,1,2,0,2,1.0,0,1200203.0,Cruzeiro do Sul,12.0,AC,3.0,2.0,1.0,1200203,12,AC,0,0,0,0,,,,,,,,,1,,,,,,,,E,B,C,B,5,B,A,B,D,B,A,B,A,B,A,A,A,A,B,A,A,A,B,A,B
4,F,1,3,1,1,1,1,,0,,,,,,,,1200401,12,AC,0,0,0,0,,,,,,,,,1,,,,,,,,H,D,F,B,2,B,A,B,B,A,A,B,A,A,A,B,A,A,B,A,A,C,A,A,B
4,F,1,3,1,1,1,1,,0,,,,,,,,1200203,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,470.3,526.8,571.3,411.5,1,1.0,140.0,180.0,140.0,180.0,160.0,800.0,A,E,A,D,3,D,A,B,C,A,B,B,A,B,A,A,A,A,B,A,A,C,A,A,A
3,M,1,3,1,2,0,2,1.0,0,1200401.0,Rio Branco,12.0,AC,2.0,1.0,1.0,1200401,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,532.2,555.3,604.3,686.9,0,1.0,140.0,200.0,160.0,160.0,200.0,860.0,E,G,C,D,4,G,A,B,D,B,A,B,B,B,B,B,A,A,B,A,A,D,A,D,B
2,F,1,2,1,2,0,2,1.0,0,,,,,,,,1200609,12,AC,0,0,0,0,,,,,,,,,0,,,,,,,,A,A,B,B,5,A,A,B,C,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A
7,F,1,3,1,1,4,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,423.4,490.3,452.1,480.6,1,1.0,120.0,120.0,120.0,120.0,80.0,560.0,B,B,A,A,6,B,A,B,D,A,B,B,B,B,B,A,A,A,B,A,A,E,A,A,B
3,F,1,3,1,2,0,2,1.0,0,,,,,,,,1200401,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,413.2,551.9,551.1,502.4,1,1.0,120.0,200.0,120.0,160.0,160.0,760.0,D,D,F,B,4,B,A,B,C,A,B,B,A,B,A,A,A,A,A,A,A,D,A,A,B
3,M,1,2,1,1,1,1,,0,,,,,,,,1200203,12,AC,0,0,0,0,,,,,,,,,1,,,,,,,,D,C,F,F,11,C,A,B,D,A,A,B,A,B,B,A,A,A,B,A,A,D,A,A,A
3,M,1,2,1,2,0,2,1.0,0,1200401.0,Rio Branco,12.0,AC,2.0,1.0,1.0,1200401,12,AC,1,1,1,1,1224.0,1192.0,1202.0,1214.0,565.6,555.9,500.1,541.1,1,1.0,140.0,180.0,160.0,200.0,180.0,860.0,A,C,C,B,4,B,B,B,C,A,B,B,B,B,B,A,A,A,B,A,B,B,A,A,B
10,F,1,0,1,1,0,1,,0,,,,,,,,1200401,12,AC,0,0,0,0,,,,,,,,,0,,,,,,,,A,A,A,A,4,B,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A
1,F,0,3,1,3,0,1,,1,,,,,,,,1200401,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,476.8,523.5,553.0,580.0,0,1.0,140.0,140.0,160.0,160.0,140.0,740.0,D,F,C,C,5,B,A,B,B,A,B,A,B,A,A,A,A,A,B,A,A,D,A,A,A
6,F,1,2,1,1,2,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,497.0,545.9,542.6,478.0,1,1.0,120.0,160.0,120.0,120.0,80.0,600.0,D,F,C,B,3,C,A,B,C,A,B,B,A,A,B,A,A,A,B,A,B,C,A,B,B
3,M,1,3,1,2,0,2,1.0,0,1200401.0,Rio Branco,12.0,AC,2.0,1.0,1.0,1200401,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,602.4,607.5,595.3,688.8,0,1.0,120.0,140.0,120.0,120.0,120.0,620.0,H,D,F,F,3,B,A,B,C,A,A,B,A,B,B,A,A,A,A,A,A,D,B,A,B
3,F,1,2,1,2,0,2,1.0,0,,,,,,,,1200401,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,432.1,483.6,513.8,422.5,0,1.0,140.0,200.0,140.0,160.0,180.0,820.0,B,D,C,B,6,B,A,B,A,A,A,B,A,A,A,A,A,A,B,A,A,E,A,A,B
4,F,1,1,1,1,1,1,,0,,,,,,,,1200203,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,583.2,681.7,627.5,718.2,1,1.0,160.0,200.0,160.0,200.0,200.0,920.0,E,G,D,D,4,B,A,A,C,A,B,B,A,A,B,A,A,A,B,A,A,C,A,A,B
4,F,1,3,1,2,0,2,1.0,0,,,,,,,,1200203,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,396.9,419.0,409.4,367.1,1,1.0,120.0,40.0,40.0,120.0,40.0,360.0,B,B,A,A,8,B,A,B,C,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,B
8,F,1,3,1,2,0,2,,0,,,,,,,,1200203,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,414.5,454.0,481.0,413.6,1,1.0,120.0,100.0,120.0,100.0,100.0,540.0,A,E,F,B,2,A,A,B,C,A,B,B,A,B,A,A,A,A,B,A,A,B,A,B,B
4,F,1,3,1,1,1,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,413.6,518.1,549.5,522.4,1,1.0,140.0,120.0,120.0,120.0,80.0,580.0,E,G,B,D,4,B,A,B,C,A,B,B,B,A,B,A,A,A,B,A,A,D,A,A,B
2,F,1,1,1,2,0,2,1.0,0,1200401.0,Rio Branco,12.0,AC,2.0,1.0,1.0,1200401,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,542.3,596.6,561.9,597.6,0,1.0,160.0,160.0,160.0,180.0,180.0,840.0,E,E,C,B,4,C,A,B,C,A,B,B,A,A,A,A,A,A,B,A,A,D,A,A,B
3,F,1,3,1,2,0,2,1.0,0,1200203.0,Cruzeiro do Sul,12.0,AC,2.0,1.0,1.0,1200203,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,448.8,470.3,473.9,532.2,1,1.0,120.0,160.0,120.0,160.0,80.0,640.0,E,E,B,B,4,A,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A
4,F,1,3,1,1,2,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,415.5,540.8,474.2,402.8,0,1.0,120.0,180.0,120.0,160.0,120.0,700.0,E,E,C,B,6,B,A,B,C,A,B,B,A,B,A,A,A,A,B,A,A,C,A,A,B
9,F,1,3,1,1,7,1,,0,,,,,,,,1200401,12,AC,0,0,0,0,,,,,,,,,1,,,,,,,,D,E,A,A,7,D,A,B,C,A,B,B,A,A,A,A,A,A,B,A,A,E,A,A,B
3,F,1,3,1,2,0,2,1.0,0,,,,,,,,1200500,12,AC,1,1,1,1,1224.0,1192.0,1202.0,1214.0,395.2,446.5,476.4,504.9,1,1.0,120.0,180.0,120.0,160.0,120.0,700.0,B,B,A,B,5,C,A,B,C,A,B,B,A,B,A,A,A,A,B,A,A,C,A,B,B
3,F,1,3,1,1,1,1,,0,,,,,,,,1200401,12,AC,0,0,0,0,,,,,,,,,0,,,,,,,,E,E,D,D,5,E,A,B,D,A,A,B,B,B,B,B,A,A,C,A,A,D,B,B,B
5,M,1,2,1,2,0,2,,0,,,,,,,,1200401,12,AC,0,0,0,0,,,,,,,,,1,,,,,,,,H,B,F,A,7,C,A,B,B,A,A,B,A,B,A,A,A,A,B,A,A,D,A,A,B
4,F,0,3,1,1,1,1,,0,,,,,,,,1200203,12,AC,0,0,0,0,,,,,,,,,1,,,,,,,,B,E,B,B,3,B,B,B,C,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A
3,F,1,0,1,2,0,2,1.0,0,1200013.0,Acrelândia,12.0,AC,2.0,1.0,1.0,1200013,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,396.2,509.6,524.6,428.3,1,1.0,140.0,200.0,180.0,160.0,200.0,880.0,C,C,A,A,8,B,A,B,C,A,A,B,A,A,A,A,A,A,A,A,A,C,A,A,A
5,F,1,3,1,1,2,1,,0,,,,,,,,1200385,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,552.1,553.5,491.6,374.4,1,1.0,120.0,180.0,100.0,140.0,160.0,700.0,E,C,B,B,2,B,A,B,B,A,A,B,A,A,B,A,A,A,B,A,A,B,A,A,B
6,M,1,3,1,1,4,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1224.0,1192.0,1202.0,1214.0,568.7,632.7,522.9,585.0,1,1.0,80.0,120.0,120.0,100.0,120.0,540.0,A,D,B,B,7,D,A,B,D,A,B,B,A,A,A,A,A,A,B,A,A,D,A,A,B
3,F,1,2,1,2,0,2,1.0,0,,,,,,,,1200401,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,395.0,408.2,389.7,377.4,1,1.0,100.0,120.0,80.0,100.0,80.0,480.0,H,E,F,B,2,B,A,B,C,A,A,B,A,A,B,A,A,A,B,A,A,C,A,A,B
1,F,1,1,1,3,0,1,,1,,,,,,,,1200401,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,505.5,444.2,475.8,442.5,0,1.0,120.0,180.0,120.0,120.0,200.0,740.0,G,G,D,D,5,E,A,D,D,C,A,B,B,B,B,A,A,A,E,A,B,E,A,C,B
2,M,0,1,1,2,0,2,1.0,0,1200401.0,Rio Branco,12.0,AC,2.0,1.0,1.0,1200401,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,556.5,506.0,571.0,667.8,1,1.0,160.0,180.0,160.0,160.0,160.0,820.0,E,D,C,B,6,F,A,C,E,B,C,C,B,C,B,C,A,A,D,B,A,E,B,A,B
3,F,1,4,1,1,1,1,,0,,,,,,,,1200203,12,AC,0,0,0,0,,,,,,,,,1,,,,,,,,H,B,B,F,5,B,A,B,C,A,A,B,A,B,B,A,A,A,A,A,A,C,A,A,B
3,F,1,3,1,2,0,2,1.0,0,,,,,,,,1200401,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,427.7,539.2,536.0,471.4,0,1.0,140.0,40.0,40.0,140.0,40.0,400.0,B,E,A,B,2,B,A,B,C,A,A,B,A,A,A,A,A,A,A,A,A,C,A,A,B
1,F,1,3,1,3,0,1,,1,,,,,,,,1200401,12,AC,0,1,1,0,,1193.0,1204.0,,,436.0,478.0,,1,1.0,100.0,120.0,120.0,120.0,140.0,600.0,B,C,F,B,5,B,A,B,C,A,B,B,A,B,B,A,A,A,C,A,A,E,A,A,B
4,F,1,3,1,1,1,1,,0,,,,,,,,1200203,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,603.0,669.8,655.6,789.7,1,1.0,180.0,200.0,200.0,180.0,200.0,960.0,C,D,B,B,3,C,A,B,C,A,A,B,B,B,B,A,A,A,B,A,A,D,A,B,B
3,M,1,3,1,2,0,2,1.0,0,1200401.0,Rio Branco,12.0,AC,2.0,1.0,1.0,1200401,12,AC,0,0,0,0,,,,,,,,,1,,,,,,,,E,E,D,D,5,D,A,C,D,B,A,B,B,B,B,B,A,A,D,A,B,E,A,E,B
4,F,1,2,1,1,2,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,484.1,482.3,496.4,424.5,1,1.0,160.0,200.0,180.0,180.0,180.0,900.0,B,B,A,B,1,A,A,B,C,A,B,B,A,B,B,A,A,A,B,A,A,B,A,A,A
